exp,fold,seed,n_train,n_test,rmse,pearson,spearman,acc3,f1_macro3,params,train_minutes,git_sha,mae,per_complex_spearman,n_complexes_counted,dataset,note
E0e_mean__cluster,3,2,717,223,1.611974992168522,,,0.3183856502242152,0.16099773242630386,0,0.0,c2e7b01,1.2780957796332715,,23,skempi_abag,handcrafted/mean/cluster
E0c_rf_pooled_esm_mpnn__cluster__pca128,0,0,672,268,2.4348482155779227,0.39756989562328815,0.39183453871167984,0.39925373134328357,0.3004469987228608,125544,0.043,94b0afe,1.7785672544837428,0.17381934378250288,14,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,1,0,718,222,1.3761914446989607,0.07765116222316631,0.053634560788739925,0.5585585585585585,0.3894909688013137,125544,0.043,94b0afe,1.1129373162625116,0.23520744336543906,6,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,2,0,713,227,1.4321183478900308,0.2242882385388666,0.2538487995342935,0.5066079295154186,0.32846096958347365,125544,0.043,94b0afe,1.0376374484065245,0.10112855880810279,10,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,3,0,717,223,1.5918304584444296,0.07096603901335807,0.10168348875008759,0.4260089686098655,0.30256410256410254,125544,0.043,94b0afe,1.1334808644750622,-0.09128672478722835,23,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,0,1,672,268,2.4394524491359126,0.3610522009004822,0.37760107429731027,0.3843283582089552,0.28845369237046103,125684,0.041,94b0afe,1.778238902864082,0.1889123037284345,14,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,1,1,718,222,1.360780519271355,0.11109099835389995,0.0874252011596024,0.5540540540540541,0.3899269373577674,125684,0.041,94b0afe,1.0914268342497873,0.21301117812002762,6,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,2,1,713,227,1.4284229711365766,0.23322969850186806,0.24585483809395361,0.5022026431718062,0.32293677128679715,125684,0.041,94b0afe,1.0368824151311629,0.14960859161899318,10,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,3,1,717,223,1.594776849238007,0.06879518370249871,0.07243744033172314,0.40358744394618834,0.2755813637967058,125684,0.041,94b0afe,1.142643264473399,-0.0015341593144248267,23,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,0,2,672,268,2.4403002404468284,0.3183561507003234,0.3142789590140577,0.3917910447761194,0.28481770510756016,125590,0.04,94b0afe,1.7830468213936317,0.08729251011553736,14,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,1,2,718,222,1.3823257427968123,0.05511728355998804,0.049844679306276944,0.536036036036036,0.3784832451499118,125590,0.04,94b0afe,1.1178453943812479,0.22861281674569572,6,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,2,2,713,227,1.427766913388578,0.23542307276505553,0.26512877977512217,0.4889867841409692,0.29251369446135117,125590,0.04,94b0afe,1.0357298780738162,0.1795378828019082,10,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__cluster__pca128,3,2,717,223,1.5836655811391356,0.08765256693809292,0.09064635590480209,0.42152466367713004,0.29400062447031533,125590,0.04,94b0afe,1.130833932889574,0.017088465472739303,23,skempi_abag,pooled_esm_mpnn/rf/cluster/pca128
E0c_rf_pooled_esm_mpnn__pca128,0,0,752,188,2.4550205486494394,0.5687493641523647,0.5477454796558642,0.3670212765957447,0.22646622692642018,131808,0.044,94b0afe,1.7471228663758518,0.40280235762080263,9,skempi_abag,pooled_esm_mpnn/rf/frozen5/pca128
E0c_rf_pooled_esm_mpnn__pca128,1,0,752,188,1.6364451257833006,-0.07388488281447093,-0.17989101222553505,0.48404255319148937,0.3169742983572771,131808,0.044,94b0afe,1.3738780431843411,0.23220467997052155,11,skempi_abag,pooled_esm_mpnn/rf/frozen5/pca128
E0c_rf_pooled_esm_mpnn__pca128,2,0,752,188,1.3148617517216916,0.3978695847645045,0.39768101302856357,0.526595744680851,0.3842264054731654,131808,0.044,94b0afe,0.987776700386396,0.4013052653566616,11,skempi_abag,pooled_esm_mpnn/rf/frozen5/pca128
